cliente_id,sinalizacoes_regra_1,sinalizacoes_regra_2,risco_deterministico,risco_agente,concorda,diferenca_niveis,justificativa_agente,quem_parece_correto,analise_divergencia
CLI-001,0,2,médio,médio,True,0,"Parecer preliminar baseado exclusivamente nos alertas determinísticos e nas ferramentas fornecidas. Foram identificadas duas operações acima do limite estatístico de 5 vezes a mediana do cliente, incluindo uma transação sem data informada. Como regras determinísticas podem gerar falsos positivos e uma sinalização não comprova irregularidade, o risco foi classificado como médio. Os dados disponíveis limitam-se a 10 operações no histórico e a detalhes de contraparte apenas para uma das operações, havendo ausência de informações temporais completas para todos os eventos sinalizados.",regra e agente concordaram,Não houve divergência entre a classificação determinística e a classificação do agente.
CLI-005,0,2,médio,médio,True,0,"Parecer preliminar baseado exclusivamente nos alertas determinísticos e nos dados fornecidos. Foram identificadas duas operações com valores superiores a cinco vezes a mediana do cliente. O histórico apresenta 11 operações totalizando BRL 64.742,66 entre 2026-03-14 e 2026-05-07. As regras determinísticas geram falsos positivos e a análise das ferramentas indica que uma sinalização não comprova irregularidade. Há limitações na quantidade e profundidade dos dados transacionais disponíveis para contextualizar a contraparte e a finalidade econômica das transferências.",regra e agente concordaram,Não houve divergência entre a classificação determinística e a classificação do agente.
CLI-013,0,2,médio,médio,True,0,"As regras determinísticas geraram alertas devido a duas operações cujos valores superaram cinco vezes a mediana do cliente. A análise das ferramentas confirma que os montantes das transações OP-00309 e OP-00310 estão muito acima do padrão mediano (R$ 3.146,22). Contudo, as regras determinísticas podem gerar falsos positivos e uma sinalização não comprova irregularidade. Há limitações nos dados, pois o escopo baseia-se em um histórico de apenas 10 operações e os dados disponíveis não permitem afirmar intenção ou ocorrência de fraude ou crime.",regra e agente concordaram,Não houve divergência entre a classificação determinística e a classificação do agente.
CLI-014,0,3,médio,médio,True,0,"O parecer preliminar identifica disparidades estatísticas baseadas em regras determinísticas, que podem gerar falsos positivos. Foram registradas três operações cujos valores superam cinco vezes a mediana do cliente (BRL 2.308,41). O histórico total aponta 11 operações e um volume de BRL 80.629,99 distribuídos entre os canais boleto, cartão, pix e ted. Ressalta-se que uma sinalização não comprova irregularidade e os dados fornecidos apresentam limitações por não contemplarem o contexto operacional completo ou a intenção do cliente CLI-014.",regra e agente concordaram,Não houve divergência entre a classificação determinística e a classificação do agente.
CLI-017,1,0,médio,baixo,False,-1,"O alerta determinístico da regra_1 foi disparado devido ao volume e quantidade de operações concentradas na data de 2026-03-08. No entanto, os resultados das ferramentas mostram que o cliente possui um histórico total de 13 operações distribuídas até a data de 2026-05-24, com valor médio de R$ 9.337,80 e maior operação de R$ 18.761,22, patamares compatíveis com os montantes movimentados no dia do alerta. Destaca-se que regras determinísticas podem gerar falsos positivos e uma única sinalização não comprova irregularidade. Há limitações na análise devido à ausência de dados cadastrais, perfil socioeconômico e finalidade declarada das transações.",regra determinística,"A regra determinística parece mais adequada. O cliente apresentou operações concentradas no mesmo dia que atenderam integralmente aos critérios da Regra 1. A compatibilidade dos valores individuais com o histórico não elimina o padrão temporal observado. Ainda assim, a sinalização representa um alerta preliminar e não comprova irregularidade."
CLI-023,0,2,médio,médio,True,0,"As regras determinísticas geraram alertas devido a duas operações que ultrapassaram o limite de cinco vezes a mediana do cliente. O histórico confirma que o volume total de 12 operações é de R$ 148.535,02, com mediana de R$ 3.241,16. As ferramentas fornecem dados limitados e parciais sobre o perfil completo e a origem dos fundos. Uma sinalização não comprova irregularidade, tratando-se apenas de um alerta preliminar sujeito a falsos positivos.",regra e agente concordaram,Não houve divergência entre a classificação determinística e a classificação do agente.
CLI-026,0,2,médio,médio,True,0,"Parecer preliminar baseado exclusivamente nos alertas determinísticos e nos dados fornecidos. Foram identificadas duas operações acima do limite estatístico de 5 vezes a mediana do cliente. As regras determinísticas geram falsos positivos e uma sinalização isolada não comprova irregularidade, fraude ou crime. O histórico do cliente abrange 12 operações totalizando BRL 54.729,28 no período analisado, havendo limitações analíticas decorrentes da ausência de dados cadastrais detalhados ou contexto transacional aprofundado.",regra e agente concordaram,Não houve divergência entre a classificação determinística e a classificação do agente.
CLI-028,0,2,médio,médio,True,0,"As regras determinísticas geraram alertas (regra_2) para duas operações realizadas em 2026-03-21 cujos valores superam cinco vezes a mediana histórica do cliente (R$ 4.430,25). Os dados das ferramentas confirmam que a operação OP-00307 refere-se a uma transferência recebida de 'Estrela Assessoria LTDA' no valor de R$ 24.875,39 e a OP-00308 a uma transferência enviada via TED para 'Delta Trading LTDA' no valor de R$ 27.715,48. As regras determinísticas podem gerar falsos positivos. A análise baseia-se exclusivamente nas informações fornecidas, as quais possuem limitações por não abrangerem o contexto completo, histórico ampliado ou motivação das transações, ressaltando-se que uma sinalização não comprova irregularidade.",regra e agente concordaram,Não houve divergência entre a classificação determinística e a classificação do agente.
CLI-029,1,0,médio,baixo,False,-1,"Parecer preliminar baseado exclusivamente nos dados fornecidos. O cliente CLI-029 possui histórico de 16 operações totalizando R$ 191.385,77 desde 2026-03-11, com valor médio de R$ 11.961,61. O volume e os valores operados em 2026-05-26 alinham-se à magnitude geral do histórico do cliente. As regras determinísticas podem gerar falsos positivos e uma sinalização isolada não comprova irregularidade, havendo limitação de dados por ausência de informações qualitativas sobre a motivação comercial das contrapartes (Orion Trading SA, Solar Importacao LTDA, Rubi Importacao ME e Cristal Atacado ME).",agente,"O agente parece mais adequado. Embora a concentração das operações tenha acionado formalmente a Regra 1, os valores do dia estavam alinhados à magnitude do histórico do cliente, que possui 16 operações e volume total próximo de R$ 191 mil. Isso oferece uma justificativa plausível para tratar o caso como possível falso positivo, sem dispensar revisão humana."
CLI-030,0,1,médio,médio,True,0,"O alerta determinístico da regra 2 foi disparado devido a uma única operação recebida (OP-00313) em 2026-03-08, cujo valor é superior à mediana histórica (BRL 4.611,07). No entanto, regras determinísticas podem gerar falsos positivos e a ocorrência de uma sinalização não comprova irregularidade. Os dados fornecidos limitam-se ao histórico de 9 operações e às informações da operação do dia, sem evidências adicionais de intenção ou irregularidade.",regra e agente concordaram,Não houve divergência entre a classificação determinística e a classificação do agente.
